,Mes,Item_Commodity,CantidadPedida,CantidadRecibida,PrecioUnitario,Total
161,2018-05,6693,504.0,0.0,5.1961,2618.8199999999997
162,2018-05,6695,1080.0,180.0,1.1811696,1275.66
163,2018-05,6698,6.0,0.0,26.58,159.48
164,2018-05,6712,9.0,3.0,136.93553333333332,1232.42
165,2018-05,6714,3.0,0.0,35.59,106.77000000000001
166,2018-05,6715,500.0,100.0,1.4349,717.45
167,2018-05,6717,32.0,10.0,8.7494,282.48
168,2018-05,6726,36.0,0.0,53.74,1934.6399999999999
169,2018-05,6729,160.0,0.0,8.410188,1345.64
170,2018-05,6731,364.0,56.0,7.321221800000001,2689.96
171,2018-05,6736,804.0,288.0,3.4,2733.6
172,2018-05,6737,5.0,0.0,23.8656,119.33
173,2018-05,6738,324.0,96.0,12.053045384615386,3905.15
174,2018-05,6743,480.0,120.0,24.9998025,11999.91
175,2018-05,6744,24.0,0.0,19.06,457.44
176,2018-05,6746,740.0,140.0,25.099976923076927,18573.98
177,2018-05,6748,10920.0,2640.0,2.8999999999999995,31668.0
178,2018-05,6749,264.0,12.0,12.459999999999999,3289.44
179,2018-05,6751,1162.0,184.0,13.280050769230769,15431.39
180,2018-05,6753,18.0,0.0,16.113547,290.04
181,2018-05,6755,6.0,0.0,71.11,426.65999999999997
182,2018-05,6759,64.0,10.0,33.62201,2172.8
183,2018-05,6761,240.0,0.0,1.457586,349.84
184,2018-05,6762,3.0,0.0,47.70000000000001,143.10000000000002
185,2018-05,6764,168.0,16.0,25.084580909090906,4199.83
186,2018-05,6777,700.0,0.0,1.161693,813.19
187,2018-05,6779,636.0,168.0,6.02,3828.72
188,2018-05,6780,3252.0,996.0,4.0,13008.0
189,2018-05,6783,250.0,250.0,5.50847,1377.12
190,2018-05,6788,45.0,0.0,25.429999999999996,1144.3500000000001
191,2018-05,6789,595.0,125.0,23.853858666666667,13948.18
192,2018-05,6791,800.0,200.0,0.295,236.0
193,2018-05,6794,575.0,100.0,1.529796666666667,881.87
194,2018-05,6795,2750.0,750.0,1.388,3817.0
195,2018-05,6800,20.0,0.0,1.08,21.6
196,2018-05,6802,800.0,200.0,0.7104,604.4
197,2018-05,6803,2400.0,600.0,0.7735,1856.3999999999999
198,2018-05,6804,725.0,325.0,1.3124040000000001,976.2
199,2018-05,6806,150.0,50.0,2.5416733333333332,381.26
200,2018-05,6808,120.0,0.0,3.994,479.28
201,2018-05,6810,1.0,0.0,43.578,43.58
202,2018-05,6813,36.0,0.0,29.736,1110.1399999999999
203,2018-05,6824,100.0,100.0,3.1029,310.29
204,2018-05,6825,780.0,0.0,2.416706,1885.0099999999998
205,2018-05,6827,192.0,0.0,1.182587,227.04
206,2018-05,6828,11.0,2.0,43.02616,473.29
207,2018-05,6829,48.0,16.0,34.7052,1665.8600000000001
208,2018-05,6833,60.0,0.0,1.0501,63.0
209,2018-05,6834,400.0,0.0,1.3655920000000001,546.24
210,2018-05,6845,41.0,3.0,28.48384,1167.8300000000002
211,2018-05,6846,6.0,6.0,7.535,45.21
212,2018-05,6849,1700.0,300.0,2.8351580000000003,4819.79
213,2018-05,6853,60.0,0.0,3.84,230.4
214,2018-05,6855,500.0,100.0,2.244088,1122.03
215,2018-05,6856,40.0,0.0,7.30902,292.36
216,2018-05,6858,32.0,8.0,14.320000000000002,458.24
217,2018-05,6860,60.0,0.0,1.910767,114.64
218,2018-05,6865,61.0,10.0,36.41592083333334,2224.62
219,2018-05,6872,344.0,200.0,3.47,1193.68
220,2018-05,6874,198.0,48.0,4.0,792.0
221,2018-05,6875,2844.0,576.0,3.0,8532.0
222,2018-05,6876,11316.0,2448.0,2.4,27158.4
223,2018-05,6878,252.0,48.0,39.84836111111112,10041.49
224,2018-05,6881,640.0,160.0,51.42,32908.799999999996
225,2018-05,6882,2520.0,720.0,0.4997108571428571,1244.71
226,2018-05,6884,1460.0,250.0,5.5085,8042.43
227,2018-05,6885,1280.0,420.0,1.98,2534.4
228,2018-05,6886,746.0,16.0,1.248090909090909,432.21999999999997
229,2018-05,6888,12.0,0.0,5.3599,64.32
230,2018-05,6889,62.0,2.0,17.055,1057.41
231,2018-05,6890,400.0,0.0,2.967965,1187.2
232,2018-05,6891,77.0,7.0,29.7,2286.8999999999996
233,2018-05,6892,35.0,0.0,18.540412,648.9
234,2018-05,6894,5900.0,1900.0,0.0612,361.08
235,2018-05,6896,400.0,0.0,0.815625,326.25
236,2018-05,6899,840.0,300.0,0.932197,807.44
237,2018-05,6901,2060.0,560.0,0.0417135,85.91
238,2018-05,6902,700.0,100.0,0.14410000000000003,100.87
239,2018-05,6903,8100.0,700.0,0.2513,2035.53
240,2018-05,6904,1000.0,100.0,0.0737,73.7
241,2018-05,6905,15.0,15.0,21.19,317.85
242,2018-05,6906,1320.0,300.0,0.8724999999999999,1139.34
243,2018-05,6907,70.0,10.0,68.73,4811.099999999999
244,2018-05,6908,240.0,90.0,1.88985,446.96999999999997
245,2018-05,6911,640.0,200.0,1.6974,1069.28
246,2018-05,6912,2400.0,1200.0,0.08,192.0
247,2018-05,6913,53.0,10.0,11.76787911111111,623.72
248,2018-05,6916,7110.0,690.0,0.08708744444444444,610.3499999999999
249,2018-05,6918,75.0,0.0,1.6525,123.93
250,2018-05,6919,2600.0,700.0,0.5508,1432.08
251,2018-05,6920,850.0,500.0,1.5828,1409.6
252,2018-05,6921,600.0,300.0,0.06610133333333333,39.660000000000004
253,2018-05,6922,900.0,200.0,0.135,121.5
254,2018-05,6923,600.0,600.0,0.082615,49.57
255,2018-05,6924,2100.0,600.0,0.696,1461.6
256,2018-05,6926,6400.0,1700.0,0.48771736363636364,3000.2999999999997
257,2018-05,6927,240.0,200.0,0.76708,184.5
258,2018-05,6928,5000.0,1800.0,0.41100000000000003,2118.8
259,2018-05,6929,4400.0,1400.0,0.7,3080.0
260,2018-05,6931,12700.0,3100.0,0.13750500000000002,1746.3
261,2018-05,6932,4600.0,600.0,0.1608,739.68
262,2018-05,6933,2400.0,600.0,0.049871111111111116,119.77000000000001
263,2018-05,6935,600.0,200.0,0.0542,32.519999999999996
264,2018-05,6938,500.0,500.0,1.388,694.0
265,2018-05,6939,1140.0,540.0,0.25985454545454545,297.24
266,2018-05,6942,6890.0,1350.0,2.050224,13716.2
267,2018-05,6943,110.0,20.0,8.580492727272727,943.8499999999999
268,2018-05,6944,500.0,170.0,3.4849829999999997,1735.38
269,2018-05,6945,400.0,0.0,0.5085,203.4
270,2018-05,6946,1290.0,990.0,0.4745725,928.97
271,2018-05,6947,670.0,25.0,0.9952181818181818,643.67
272,2018-05,6948,4000.0,600.0,0.8583333333333334,3422.5
273,2018-05,6949,266.0,126.0,24.003692307692308,6405.7
274,2018-05,6950,1000.0,400.0,1.16229,1148.8
275,2018-05,6952,610.0,310.0,3.5083333333333333,2140.08
276,2018-05,6954,2300.0,500.0,0.066002,151.8
277,2018-05,6955,45.0,13.0,2.6317399999999997,120.36
278,2018-05,6956,300.0,0.0,3.8135999999999997,1144.08
279,2018-05,6957,3100.0,700.0,0.60599,1878.59
280,2018-05,6958,1100.0,600.0,1.0599133333333333,1270.56
281,2018-05,6959,9100.0,2600.0,0.544,4950.4
282,2018-05,6960,600.0,200.0,0.5958683333333333,357.52
283,2018-05,6961,6800.0,1500.0,0.3463636363636363,1247.76
284,2018-05,6962,1190.0,350.0,2.379025,2831.05
285,2018-05,6963,9.0,0.0,1.8644,16.77
286,2018-05,6966,3200.0,400.0,0.09078181818181817,276.08
287,2018-05,6968,770.0,78.0,0.294,144.26
288,2018-05,6969,32.0,20.0,1.5515,48.489999999999995
289,2018-05,6970,700.0,100.0,0.12711925000000002,88.97
290,2018-05,6971,130.0,20.0,16.260634625,2093.2000000000003
291,2018-05,6973,3400.0,200.0,0.07161,243.48000000000002
292,2018-05,6974,6400.0,1200.0,0.375,2400.0
293,2018-05,6975,256.0,36.0,4.47,1144.3200000000002
294,2018-05,6976,4550.0,1000.0,0.40684000000000003,1867.95
295,2018-05,6977,450.0,120.0,0.38932466666666665,176.34
296,2018-05,6978,4200.0,500.0,0.18666,771.6600000000001
297,2018-05,6979,526.0,90.0,3.29,1730.54
298,2018-05,6980,10860.0,800.0,3.47327725,23658.68
299,2018-05,6981,650.0,150.0,1.01414,631.6600000000001
300,2018-05,6982,1700.0,300.0,0.0763,129.71
301,2018-05,6983,600.0,100.0,0.26108750000000003,145.04
302,2018-05,6984,45.0,6.0,1.286542857142857,57.24
303,2018-05,6985,122.0,47.0,2.18476,265.81
304,2018-05,6986,2000.0,1000.0,0.28025,559.08
305,2018-05,6988,20100.0,2700.0,0.0519,1043.19
306,2018-05,6989,40.0,0.0,1.10915,44.36
307,2018-05,6991,48.0,0.0,0.6356,30.509999999999998
308,2018-05,6993,872.0,302.0,6.779764285714286,5911.94
309,2018-05,6994,400.0,0.0,0.103,41.2
310,2018-05,6995,3800.0,1400.0,0.045,171.0
311,2018-05,6997,1500.0,0.0,2.0327333333333333,3634.0200000000004
312,2018-05,6998,1550.0,100.0,0.4322125,669.92
313,2018-05,7001,16.0,0.0,6.55,104.8
314,2018-05,7004,44.0,8.0,32.332300000000004,1420.1499999999999
315,2018-05,7005,26.0,3.0,15.933105,404.42
316,2018-05,7007,8.0,0.0,19.55,156.4
317,2018-05,7008,2.0,0.0,18.61934,37.24
318,2018-05,7011,400.0,100.0,0.14340725000000001,57.35
319,2018-05,7012,600.0,100.0,0.541182,328.14
320,2018-05,7014,672.0,0.0,8.229143,5529.99
321,2018-05,7016,880.0,160.0,6.109181818181818,5098.58
322,2018-05,7017,250.0,62.0,17.860818153846154,4438.05
323,2018-05,7024,30.0,6.0,33.088,992.65
324,2018-05,7025,120.0,0.0,10.974067,1316.88
325,2018-05,7029,9.0,0.0,29.191999999999997,262.74
326,2018-05,7030,12.0,0.0,37.2,446.4
327,2018-05,7033,690.0,0.0,4.142233,2858.13
328,2018-05,7034,10.0,0.0,28.6,286.0
329,2018-05,7038,100.0,0.0,1.65829,165.82
330,2018-05,7042,30.0,0.0,2.9660999999999995,88.98
331,2018-05,7043,40.0,0.0,68.42204,2736.88
332,2018-05,7045,280.0,56.0,3.1822612,891.04
333,2018-05,7047,20.0,0.0,21.88,437.6
334,2018-05,7048,20.0,0.0,22.4686,449.36
335,2018-05,7050,10.0,10.0,20.5985,205.99
336,2018-05,7052,9200.0,2300.0,0.1356,1247.52
337,2018-05,7053,704.0,288.0,3.4,2393.6
338,2018-05,7054,62.0,21.0,15.885269636363637,984.89
339,2018-05,7055,33800.0,9500.0,0.17299699999999998,5847.29
340,2018-05,7056,11.0,0.0,29.73696,327.09999999999997
341,2018-05,7058,200.0,90.0,2.059588,411.94
342,2018-05,7060,13.0,2.0,41.9344375,551.68
343,2018-05,7064,465.0,215.0,13.196085714285715,6275.41
344,2018-05,7067,27.0,3.0,30.599999999999998,823.8
345,2018-05,7068,120.0,0.0,0.85,102.0
346,2018-05,7072,62.0,12.0,78.8459675,4703.3
347,2018-05,7077,4300.0,1400.0,0.05083655555555556,218.55
348,2018-05,7078,42.0,0.0,8.795893,369.42
349,2018-05,7079,99.0,18.0,40.33257692307693,3855.55
350,2018-05,7080,4.0,0.0,51.572,206.28
351,2018-05,7081,373.0,54.0,10.379089461538463,3871.3900000000003
352,2018-05,7083,4250.0,750.0,0.6596102857142857,2803.33
353,2018-05,7086,247.0,7.0,0.8727999999999999,215.44
354,2018-05,7087,180.0,44.0,6.199039461538462,1115.82
